,weekday,month,bus_route_id,violation_type,violations
297,Friday,2023-04,B44+,MOBILE BUS LANE,98
298,Friday,2023-04,B46+,MOBILE BUS LANE,148
299,Friday,2023-04,B62,MOBILE BUS LANE,6
300,Friday,2023-04,BX12+,MOBILE BUS LANE,1113
301,Friday,2023-04,BX19,MOBILE BUS LANE,101
302,Friday,2023-04,BX41+,MOBILE BUS LANE,790
303,Friday,2023-04,M14+,MOBILE BUS LANE,110
304,Friday,2023-04,M15+,MOBILE BUS LANE,750
305,Friday,2023-04,M23+,MOBILE BUS LANE,43
306,Friday,2023-04,M34+,MOBILE BUS LANE,22
307,Friday,2023-04,M86+,MOBILE BUS LANE,3
308,Friday,2023-04,Q43,MOBILE BUS LANE,94
309,Friday,2023-04,Q44+,MOBILE BUS LANE,248
310,Friday,2023-04,S79+,MOBILE BUS LANE,21
311,Friday,2023-05,B25,MOBILE BUS LANE,38
312,Friday,2023-05,B42,MOBILE BUS LANE,63
313,Friday,2023-05,B44+,MOBILE BUS LANE,73
314,Friday,2023-05,B46+,MOBILE BUS LANE,208
315,Friday,2023-05,BX12+,MOBILE BUS LANE,823
316,Friday,2023-05,BX19,MOBILE BUS LANE,60
317,Friday,2023-05,BX35,MOBILE BUS LANE,242
318,Friday,2023-05,BX41+,MOBILE BUS LANE,913
319,Friday,2023-05,M14+,MOBILE BUS LANE,153
320,Friday,2023-05,M15+,MOBILE BUS LANE,765
321,Friday,2023-05,M23+,MOBILE BUS LANE,4
322,Friday,2023-05,M34+,MOBILE BUS LANE,7
323,Friday,2023-05,M86+,MOBILE BUS LANE,4
324,Friday,2023-05,Q43,MOBILE BUS LANE,46
325,Friday,2023-05,Q44+,MOBILE BUS LANE,215
326,Friday,2023-05,S79+,MOBILE BUS LANE,16
327,Friday,2023-06,B25,MOBILE BUS LANE,17
328,Friday,2023-06,B42,MOBILE BUS LANE,45
329,Friday,2023-06,B44+,MOBILE BUS LANE,67
330,Friday,2023-06,B46+,MOBILE BUS LANE,130
