,bus_route_id,month,weekday,violation_type,violations
241,B25,2025-02,Friday,MOBILE BUS STOP,171
242,B25,2025-02,Friday,MOBILE DOUBLE PARKED,73
243,B25,2025-02,Monday,MOBILE BUS LANE,177
244,B25,2025-02,Monday,MOBILE BUS STOP,120
245,B25,2025-02,Monday,MOBILE DOUBLE PARKED,71
246,B25,2025-02,Saturday,MOBILE BUS LANE,15
247,B25,2025-02,Saturday,MOBILE BUS STOP,200
248,B25,2025-02,Saturday,MOBILE DOUBLE PARKED,42
249,B25,2025-02,Sunday,MOBILE BUS LANE,5
250,B25,2025-02,Sunday,MOBILE BUS STOP,158
251,B25,2025-02,Sunday,MOBILE DOUBLE PARKED,15
252,B25,2025-02,Thursday,MOBILE BUS LANE,186
253,B25,2025-02,Thursday,MOBILE BUS STOP,135
254,B25,2025-02,Thursday,MOBILE DOUBLE PARKED,70
255,B25,2025-02,Tuesday,MOBILE BUS LANE,201
256,B25,2025-02,Tuesday,MOBILE BUS STOP,177
257,B25,2025-02,Tuesday,MOBILE DOUBLE PARKED,112
258,B25,2025-02,Wednesday,MOBILE BUS LANE,227
259,B25,2025-02,Wednesday,MOBILE BUS STOP,173
260,B25,2025-02,Wednesday,MOBILE DOUBLE PARKED,76
261,B25,2025-03,Friday,MOBILE BUS LANE,208
262,B25,2025-03,Friday,MOBILE BUS STOP,230
263,B25,2025-03,Friday,MOBILE DOUBLE PARKED,96
264,B25,2025-03,Monday,MOBILE BUS LANE,298
265,B25,2025-03,Monday,MOBILE BUS STOP,196
266,B25,2025-03,Monday,MOBILE DOUBLE PARKED,97
267,B25,2025-03,Saturday,MOBILE BUS LANE,21
268,B25,2025-03,Saturday,MOBILE BUS STOP,253
269,B25,2025-03,Saturday,MOBILE DOUBLE PARKED,81
270,B25,2025-03,Sunday,MOBILE BUS LANE,3
271,B25,2025-03,Sunday,MOBILE BUS STOP,182
272,B25,2025-03,Sunday,MOBILE DOUBLE PARKED,26
273,B25,2025-03,Thursday,MOBILE BUS LANE,248
274,B25,2025-03,Thursday,MOBILE BUS STOP,148
275,B25,2025-03,Thursday,MOBILE DOUBLE PARKED,72
276,B25,2025-03,Tuesday,MOBILE BUS LANE,207
277,B25,2025-03,Tuesday,MOBILE BUS STOP,177
278,B25,2025-03,Tuesday,MOBILE DOUBLE PARKED,98
279,B25,2025-03,Wednesday,MOBILE BUS LANE,261
280,B25,2025-03,Wednesday,MOBILE BUS STOP,180
281,B25,2025-03,Wednesday,MOBILE DOUBLE PARKED,98
282,B25,2025-04,Friday,MOBILE BUS LANE,225
283,B25,2025-04,Friday,MOBILE BUS STOP,208
284,B25,2025-04,Friday,MOBILE DOUBLE PARKED,54
285,B25,2025-04,Monday,MOBILE BUS LANE,206
286,B25,2025-04,Monday,MOBILE BUS STOP,153
287,B25,2025-04,Monday,MOBILE DOUBLE PARKED,53
288,B25,2025-04,Saturday,MOBILE BUS LANE,15
289,B25,2025-04,Saturday,MOBILE BUS STOP,220
290,B25,2025-04,Saturday,MOBILE DOUBLE PARKED,39
291,B25,2025-04,Sunday,MOBILE BUS LANE,7
292,B25,2025-04,Sunday,MOBILE BUS STOP,183
293,B25,2025-04,Sunday,MOBILE DOUBLE PARKED,38
294,B25,2025-04,Thursday,MOBILE BUS LANE,228
295,B25,2025-04,Thursday,MOBILE BUS STOP,177
296,B25,2025-04,Thursday,MOBILE DOUBLE PARKED,50
297,B25,2025-04,Tuesday,MOBILE BUS LANE,286
298,B25,2025-04,Tuesday,MOBILE BUS STOP,187
299,B25,2025-04,Tuesday,MOBILE DOUBLE PARKED,79
300,B25,2025-04,Wednesday,MOBILE BUS LANE,266
301,B25,2025-04,Wednesday,MOBILE BUS STOP,131
302,B25,2025-04,Wednesday,MOBILE DOUBLE PARKED,57
303,B25,2025-05,Friday,MOBILE BUS LANE,310
304,B25,2025-05,Friday,MOBILE BUS STOP,298
305,B25,2025-05,Friday,MOBILE DOUBLE PARKED,107
306,B25,2025-05,Monday,MOBILE BUS LANE,143
307,B25,2025-05,Monday,MOBILE BUS STOP,228
308,B25,2025-05,Monday,MOBILE DOUBLE PARKED,30
309,B25,2025-05,Saturday,MOBILE BUS LANE,12
310,B25,2025-05,Saturday,MOBILE BUS STOP,307
311,B25,2025-05,Saturday,MOBILE DOUBLE PARKED,64
312,B25,2025-05,Sunday,MOBILE BUS LANE,12
313,B25,2025-05,Sunday,MOBILE BUS STOP,211
314,B25,2025-05,Sunday,MOBILE DOUBLE PARKED,51
315,B25,2025-05,Thursday,MOBILE BUS LANE,319
316,B25,2025-05,Thursday,MOBILE BUS STOP,259
317,B25,2025-05,Thursday,MOBILE DOUBLE PARKED,75
318,B25,2025-05,Tuesday,MOBILE BUS LANE,221
319,B25,2025-05,Tuesday,MOBILE BUS STOP,157
320,B25,2025-05,Tuesday,MOBILE DOUBLE PARKED,66
321,B25,2025-05,Wednesday,MOBILE BUS LANE,217
322,B25,2025-05,Wednesday,MOBILE BUS STOP,179
323,B25,2025-05,Wednesday,MOBILE DOUBLE PARKED,69
324,B25,2025-06,Friday,MOBILE BUS LANE,219
325,B25,2025-06,Friday,MOBILE BUS STOP,180
326,B25,2025-06,Friday,MOBILE DOUBLE PARKED,69
327,B25,2025-06,Monday,MOBILE BUS LANE,216
328,B25,2025-06,Monday,MOBILE BUS STOP,193
329,B25,2025-06,Monday,MOBILE DOUBLE PARKED,54
330,B25,2025-06,Saturday,MOBILE BUS LANE,10
331,B25,2025-06,Saturday,MOBILE BUS STOP,189
332,B25,2025-06,Saturday,MOBILE DOUBLE PARKED,41
333,B25,2025-06,Sunday,MOBILE BUS LANE,10
334,B25,2025-06,Sunday,MOBILE BUS STOP,187
335,B25,2025-06,Sunday,MOBILE DOUBLE PARKED,33
336,B25,2025-06,Thursday,MOBILE BUS LANE,176
337,B25,2025-06,Thursday,MOBILE BUS STOP,202
338,B25,2025-06,Thursday,MOBILE DOUBLE PARKED,76
339,B25,2025-06,Tuesday,MOBILE BUS LANE,199
340,B25,2025-06,Tuesday,MOBILE BUS STOP,184
341,B25,2025-06,Tuesday,MOBILE DOUBLE PARKED,67
