,month,bus_route_id,violation_type,violations
51,2020-09,M34+,MOBILE BUS LANE,39
52,2020-09,M86+,MOBILE BUS LANE,24
53,2020-10,B44+,MOBILE BUS LANE,1066
54,2020-10,B46+,MOBILE BUS LANE,1737
55,2020-10,M14+,MOBILE BUS LANE,751
56,2020-10,M15+,MOBILE BUS LANE,8062
57,2020-10,M23+,MOBILE BUS LANE,20
58,2020-10,M34+,MOBILE BUS LANE,46
59,2020-10,M86+,MOBILE BUS LANE,33
60,2020-11,B44+,MOBILE BUS LANE,940
61,2020-11,B46+,MOBILE BUS LANE,1406
62,2020-11,M14+,MOBILE BUS LANE,589
63,2020-11,M15+,MOBILE BUS LANE,7292
64,2020-11,M23+,MOBILE BUS LANE,23
65,2020-11,M34+,MOBILE BUS LANE,35
66,2020-11,M86+,MOBILE BUS LANE,17
67,2020-12,B44+,MOBILE BUS LANE,1002
68,2020-12,B46+,MOBILE BUS LANE,1704
69,2020-12,M14+,MOBILE BUS LANE,854
70,2020-12,M15+,MOBILE BUS LANE,5830
71,2020-12,M23+,MOBILE BUS LANE,59
72,2020-12,M34+,MOBILE BUS LANE,54
73,2020-12,M86+,MOBILE BUS LANE,18
74,2021-01,B44+,MOBILE BUS LANE,835
75,2021-01,B46+,MOBILE BUS LANE,1604
76,2021-01,M14+,MOBILE BUS LANE,873
77,2021-01,M15+,MOBILE BUS LANE,6033
78,2021-01,M23+,MOBILE BUS LANE,47
79,2021-01,M34+,MOBILE BUS LANE,76
80,2021-01,M86+,MOBILE BUS LANE,35
81,2021-02,B44+,MOBILE BUS LANE,1046
82,2021-02,B46+,MOBILE BUS LANE,1676
83,2021-02,M14+,MOBILE BUS LANE,795
84,2021-02,M15+,MOBILE BUS LANE,4223
85,2021-02,M23+,MOBILE BUS LANE,183
86,2021-02,M34+,MOBILE BUS LANE,157
87,2021-02,M86+,MOBILE BUS LANE,71
88,2021-03,B44+,MOBILE BUS LANE,1089
89,2021-03,B46+,MOBILE BUS LANE,2042
90,2021-03,M14+,MOBILE BUS LANE,815
91,2021-03,M15+,MOBILE BUS LANE,5160
92,2021-03,M23+,MOBILE BUS LANE,49
93,2021-03,M34+,MOBILE BUS LANE,114
94,2021-03,M86+,MOBILE BUS LANE,86
95,2021-04,B44+,MOBILE BUS LANE,1221
96,2021-04,B46+,MOBILE BUS LANE,1998
97,2021-04,M14+,MOBILE BUS LANE,854
98,2021-04,M15+,MOBILE BUS LANE,5308
99,2021-04,M23+,MOBILE BUS LANE,47
100,2021-04,M34+,MOBILE BUS LANE,116
101,2021-04,M86+,MOBILE BUS LANE,57
102,2021-05,B44+,MOBILE BUS LANE,843
103,2021-05,B46+,MOBILE BUS LANE,1461
104,2021-05,M14+,MOBILE BUS LANE,694
105,2021-05,M15+,MOBILE BUS LANE,4284
106,2021-05,M23+,MOBILE BUS LANE,28
107,2021-05,M34+,MOBILE BUS LANE,97
108,2021-05,M86+,MOBILE BUS LANE,30
109,2021-06,B44+,MOBILE BUS LANE,407
110,2021-06,B46+,MOBILE BUS LANE,875
111,2021-06,M14+,MOBILE BUS LANE,354
112,2021-06,M15+,MOBILE BUS LANE,1765
113,2021-06,M23+,MOBILE BUS LANE,17
114,2021-06,M34+,MOBILE BUS LANE,59
115,2021-06,M86+,MOBILE BUS LANE,49
116,2021-07,B44+,MOBILE BUS LANE,834
117,2021-07,B46+,MOBILE BUS LANE,1716
118,2021-07,M14+,MOBILE BUS LANE,1022
119,2021-07,M15+,MOBILE BUS LANE,3762
120,2021-07,M23+,MOBILE BUS LANE,28
121,2021-07,M34+,MOBILE BUS LANE,90
122,2021-07,M86+,MOBILE BUS LANE,62
123,2021-08,B44+,MOBILE BUS LANE,1284
124,2021-08,B46+,MOBILE BUS LANE,2673
125,2021-08,M14+,MOBILE BUS LANE,1202
126,2021-08,M15+,MOBILE BUS LANE,4576
127,2021-08,M23+,MOBILE BUS LANE,68
128,2021-08,M34+,MOBILE BUS LANE,119
129,2021-08,M86+,MOBILE BUS LANE,47
130,2021-09,B44+,MOBILE BUS LANE,1268
131,2021-09,B46+,MOBILE BUS LANE,2220
132,2021-09,M14+,MOBILE BUS LANE,1033
133,2021-09,M15+,MOBILE BUS LANE,4532
134,2021-09,M23+,MOBILE BUS LANE,43
135,2021-09,M34+,MOBILE BUS LANE,128
136,2021-09,M86+,MOBILE BUS LANE,74
137,2021-10,B44+,MOBILE BUS LANE,1044
138,2021-10,B46+,MOBILE BUS LANE,1513
139,2021-10,M14+,MOBILE BUS LANE,794
140,2021-10,M15+,MOBILE BUS LANE,4722
141,2021-10,M23+,MOBILE BUS LANE,30
142,2021-10,M34+,MOBILE BUS LANE,91
143,2021-10,M86+,MOBILE BUS LANE,43
144,2021-11,B44+,MOBILE BUS LANE,795
145,2021-11,B46+,MOBILE BUS LANE,1953
146,2021-11,M14+,MOBILE BUS LANE,849
147,2021-11,M15+,MOBILE BUS LANE,5303
148,2021-11,M23+,MOBILE BUS LANE,60
149,2021-11,M34+,MOBILE BUS LANE,72
150,2021-11,M86+,MOBILE BUS LANE,67
151,2021-12,B44+,MOBILE BUS LANE,798
152,2021-12,B46+,MOBILE BUS LANE,1893
153,2021-12,M14+,MOBILE BUS LANE,637
154,2021-12,M15+,MOBILE BUS LANE,4573
155,2021-12,M23+,MOBILE BUS LANE,30
156,2021-12,M34+,MOBILE BUS LANE,127
157,2021-12,M86+,MOBILE BUS LANE,16
158,2022-01,B44+,MOBILE BUS LANE,654
159,2022-01,B46+,MOBILE BUS LANE,1094
160,2022-01,M14+,MOBILE BUS LANE,554
161,2022-01,M15+,MOBILE BUS LANE,3789
162,2022-01,M23+,MOBILE BUS LANE,35
163,2022-01,M34+,MOBILE BUS LANE,77
164,2022-01,M86+,MOBILE BUS LANE,22
165,2022-02,B44+,MOBILE BUS LANE,622
166,2022-02,B46+,MOBILE BUS LANE,1218
167,2022-02,M14+,MOBILE BUS LANE,527
168,2022-02,M15+,MOBILE BUS LANE,3622
169,2022-02,M23+,MOBILE BUS LANE,20
170,2022-02,M34+,MOBILE BUS LANE,96
171,2022-02,M86+,MOBILE BUS LANE,19
172,2022-03,B44+,MOBILE BUS LANE,753
173,2022-03,B46+,MOBILE BUS LANE,1521
174,2022-03,M14+,MOBILE BUS LANE,681
175,2022-03,M15+,MOBILE BUS LANE,5006
176,2022-03,M23+,MOBILE BUS LANE,70
177,2022-03,M34+,MOBILE BUS LANE,99
178,2022-03,M86+,MOBILE BUS LANE,53
179,2022-04,B44+,MOBILE BUS LANE,402
180,2022-04,B46+,MOBILE BUS LANE,761
181,2022-04,M14+,MOBILE BUS LANE,406
182,2022-04,M15+,MOBILE BUS LANE,2994
183,2022-04,M23+,MOBILE BUS LANE,51
184,2022-04,M34+,MOBILE BUS LANE,79
185,2022-04,M86+,MOBILE BUS LANE,30
186,2022-05,B44+,MOBILE BUS LANE,55
187,2022-05,B46+,MOBILE BUS LANE,85
188,2022-05,M14+,MOBILE BUS LANE,68
189,2022-05,M15+,MOBILE BUS LANE,416
190,2022-05,M23+,MOBILE BUS LANE,6
191,2022-05,M34+,MOBILE BUS LANE,5
192,2022-05,M86+,MOBILE BUS LANE,5
193,2022-06,B44+,MOBILE BUS LANE,726
194,2022-06,B46+,MOBILE BUS LANE,1951
195,2022-06,M14+,MOBILE BUS LANE,938
196,2022-06,M15+,MOBILE BUS LANE,6917
197,2022-06,M23+,MOBILE BUS LANE,80
198,2022-06,M34+,MOBILE BUS LANE,135
199,2022-06,M86+,MOBILE BUS LANE,6
200,2022-07,B44+,MOBILE BUS LANE,608
201,2022-07,B46+,MOBILE BUS LANE,1400
202,2022-07,M14+,MOBILE BUS LANE,858
203,2022-07,M15+,MOBILE BUS LANE,5290
204,2022-07,M23+,MOBILE BUS LANE,44
205,2022-07,M34+,MOBILE BUS LANE,96
206,2022-07,M86+,MOBILE BUS LANE,14
207,2022-08,B44+,MOBILE BUS LANE,370
208,2022-08,B46+,MOBILE BUS LANE,669
209,2022-08,M14+,MOBILE BUS LANE,570
210,2022-08,M15+,MOBILE BUS LANE,3618
211,2022-08,M23+,MOBILE BUS LANE,51
212,2022-08,M34+,MOBILE BUS LANE,88
213,2022-08,M86+,MOBILE BUS LANE,2
214,2022-08,Q44+,MOBILE BUS LANE,55
215,2022-09,B44+,MOBILE BUS LANE,458
216,2022-09,B46+,MOBILE BUS LANE,926
217,2022-09,M14+,MOBILE BUS LANE,374
218,2022-09,M15+,MOBILE BUS LANE,3306
219,2022-09,M23+,MOBILE BUS LANE,47
220,2022-09,M34+,MOBILE BUS LANE,35
221,2022-09,Q44+,MOBILE BUS LANE,640
222,2022-10,B44+,MOBILE BUS LANE,831
223,2022-10,B46+,MOBILE BUS LANE,1211
224,2022-10,M14+,MOBILE BUS LANE,806
225,2022-10,M15+,MOBILE BUS LANE,4546
226,2022-10,M23+,MOBILE BUS LANE,145
227,2022-10,M34+,MOBILE BUS LANE,79
228,2022-10,M86+,MOBILE BUS LANE,2
229,2022-10,Q44+,MOBILE BUS LANE,3380
230,2022-10,S79+,MOBILE BUS LANE,6
231,2022-11,B44+,MOBILE BUS LANE,710
232,2022-11,B46+,MOBILE BUS LANE,1797
233,2022-11,BX12+,MOBILE BUS LANE,468
234,2022-11,BX19,MOBILE BUS LANE,18
235,2022-11,BX41+,MOBILE BUS LANE,719
236,2022-11,M14+,MOBILE BUS LANE,841
237,2022-11,M15+,MOBILE BUS LANE,4958
238,2022-11,M23+,MOBILE BUS LANE,165
239,2022-11,M34+,MOBILE BUS LANE,77
240,2022-11,M86+,MOBILE BUS LANE,3
241,2022-11,Q43,MOBILE BUS LANE,126
242,2022-11,Q44+,MOBILE BUS LANE,3709
243,2022-11,S79+,MOBILE BUS LANE,218
244,2022-12,B25,MOBILE BUS LANE,786
245,2022-12,B42,MOBILE BUS LANE,190
246,2022-12,B44+,MOBILE BUS LANE,833
247,2022-12,B46+,MOBILE BUS LANE,1786
248,2022-12,B62,MOBILE BUS LANE,46
