,stop_name,violations,avg_lat,avg_lon
222,E 163 ST/SIMPSON ST,4604,40.821066202649874,-73.89480775282364
223,CHURCH AV/E 42 ST,4589,40.65135653301373,-73.93846282501634
224,ALLEN ST/GRAND ST,4587,40.72166957223647,-73.98896746813217
225,SOUTHERN BLVD/E 187 ST,4559,40.85106706141698,-73.88299781838123
226,AMSTERDAM AV/W 125 ST,4557,40.811586628044765,-73.9566992435813
227,WEST TREMONT AV/DAVIDSON AV,4542,40.85126066600616,-73.91088308080141
228,WHITE PLAINS RD/GUERLAIN ST,4534,40.840637574768415,-73.86661708888398
229,AVENUE P/OCEAN AV,4528,40.609858957597176,-73.95626944920494
230,BROADWAY/75 ST,4520,40.7461618579646,-73.89514268384956
231,AMSTERDAM AV/W 155 ST,4499,40.8319740015559,-73.94220439875528
232,E 125 ST/2 AV,4492,40.8033653930699,-73.93538793833258
233,1 AV/E 34 ST,4489,40.746859925886234,-73.97127850202934
234,DREISER LOOP/DEBS PL,4486,40.87690861925992,-73.8308208542131
235,CORONA AV/91 PL,4462,40.74197459435231,-73.87318823845808
236,AMSTERDAM AV/W 135 ST,4437,40.81496025231012,-73.95328399012095
237,W 179 ST/BROADWAY,4387,40.848070699566904,-73.93662561408708
238,SOUTH FERRY/TERMINAL,4375,40.70356362784686,-74.01031561470629
239,FT GEORGE AV/FORT GEORGE HILL,4370,40.84735243272311,-73.9325140832952
240,FULTON ST/BOND ST,4363,40.688758168232866,-73.98020793765758
241,3 AV/E 23 ST,4324,40.74012659250694,-73.98226608533764
242,AMSTERDAM AV/W 145 ST,4318,40.823380112204724,-73.9475009167045
243,E 86 ST/MADISON AV,4315,40.78047814132115,-73.95827096199953
244,CHURCH AV/NOSTRAND AV,4290,40.65080544055944,-73.94959513379953
245,EAST TREMONT AV/CROTONA PKWY,4278,40.84337926764844,-73.8876551771856
246,WEBSTER AV/EAST TREMONT AV,4275,40.84820054736842,-73.90058691719298
247,W 181 ST/SAINT NICHOLAS AV,4271,40.84734320814797,-73.9310964996488
248,WEST FORDHAM RD/ SEDGWICK AV,4250,40.862757676470586,-73.90651930211766
249,LEE AV/FLUSHING AV,4232,40.69587152455498,-73.9526573269447
250,FRANKLIN AV/E 169 ST,4218,40.83071258013276,-73.90406481247037
251,AMSTERDAM AV/W 120 ST,4215,40.8106847088968,-73.95865406714117
252,FRESH POND RD/PALMETTO ST,4215,40.70712711838671,-73.89730697508897
253,1 AV/E 25 ST,4184,40.739453885903664,-73.97665468565967
254,SOUTHERN BLVD/EAST FORDHAM RD,4143,40.85430173400917,-73.8815836813903
255,LIVINGSTON ST / SMITH ST,4137,40.690617185158324,-73.9883619954073
256,LEXINGTON AV/E 79 ST,4133,40.77263070965401,-73.96051221146867
257,WHITE PLAINS RD/WOOD AV,4129,40.836337357229354,-73.86409197796077
258,WEST TREMONT AV/W 177 ST,4117,40.8505528185572,-73.91233453947049
259,ARCHER AV/158 ST,4093,40.70315190276081,-73.79786121304666
260,2 AV/E 34 ST,4070,40.74298649553317,-73.97710274105897
261,AMSTERDAM AV/W 167 ST,4043,40.838151893643335,-73.93722220183032
262,AMSTERDAM AV/W 168 ST,4026,40.808920358420266,-73.94955640039741
263,NOSTRAND AV/AVENUE H,4025,40.6339968621118,-73.94886429093168
264,E 149 ST/SAINT ANN'S AV,4013,40.81436740493397,-73.91256328332919
265,MALCOLM X BLVD/HALSEY ST,4007,40.6835454007986,-73.92937974544547
266,KINGS HWY/W 7 ST,3998,40.60478510655327,-73.97625602226114
267,FLATBUSH AV/PARK PL,3994,40.67768642088132,-73.97277591161742
268,CORONA AV/104 ST,3989,40.743781245675606,-73.857890397092
269,UTICA AV/AV K,3962,40.63041886399461,-73.9280949645398
270,SOUTHERN BLVD/E 182 ST,3937,40.8460008473457,-73.88433981026162
271,FLATBUSH AV/AURELIA CT,3931,40.62841445331977,-73.94295140905622
272,ASTORIA BLVD SOUTH/STEINWAY ST,3900,40.76889195435898,-73.90948630666666
273,E 168 ST/FRANKLIN AV,3895,40.83107325494223,-73.90229889653402
274,CHURCH AV/E 48 ST,3863,40.65165209914574,-73.93256403960652
275,COLUMBUS AV/W 80 ST,3853,40.782533122501945,-73.97685144822216
276,3 AV/E 72 ST,3853,40.77136567523142,-73.95928352400641
277,NOSTRAND AV/EMPIRE BLVD,3802,40.65945919226723,-73.95048195055234
278,NOSTRAND AV/AV H,3799,40.63258304693779,-73.94806209412916
279,FLATBUSH AV / FOSTER AV,3792,40.63841846914557,-73.95277320253165
280,39 ST/10 AV,3740,40.64430862673797,-73.99209559652407
281,168 ST/DOUGLAS AV,3733,40.71059167854273,-73.78533127404232
282,JAMAICA AV/PARSONS BLVD,3732,40.70296016130761,-73.80202681698822
283,E 167 ST/FINDLAY AV,3724,40.8310746726638,-73.91129776208378
